lcl|NC_000962.3_prot_NP_214515.1_1	cds-NP_214515.1
lcl|NC_000962.3_prot_NP_214555.1_40	cds-NP_214555.1
lcl|NC_000962.3_prot_NP_214556.1_41	cds-NP_214556.1
lcl|NC_000962.3_prot_NP_214557.1_42	cds-NP_214557.1
lcl|NC_000962.3_prot_NP_214558.1_43	cds-NP_214558.1
lcl|NC_000962.3_prot_NP_214559.1_44	cds-NP_214559.1
lcl|NC_000962.3_prot_NP_214560.1_45	cds-NP_214560.1
lcl|NC_000962.3_prot_NP_214561.1_46	cds-NP_214561.1
lcl|NC_000962.3_prot_NP_214562.1_47	cds-NP_214562.1
lcl|NC_000962.3_prot_NP_214563.1_48	cds-NP_214563.1
lcl|NC_000962.3_prot_YP_177687.1_49	cds-YP_177687.1
lcl|NC_000962.3_prot_NP_214565.1_50	cds-NP_214565.1
lcl|NC_000962.3_prot_NP_214566.3_51	cds-NP_214566.3
lcl|NC_000962.3_prot_NP_214567.1_52	cds-NP_214567.1
lcl|NC_000962.3_prot_NP_214568.1_53	cds-NP_214568.1
lcl|NC_000962.3_prot_YP_177688.1_54	cds-YP_177688.1
lcl|NC_000962.3_prot_NP_214570.1_55	cds-NP_214570.1
lcl|NC_000962.3_prot_NP_214571.1_56	cds-NP_214571.1
lcl|NC_000962.3_prot_NP_214572.1_57	cds-NP_214572.1
lcl|NC_000962.3_prot_NP_214573.1_58	cds-NP_214573.1
lcl|NC_000962.3_prot_NP_214574.1_59	cds-NP_214574.1
lcl|NC_000962.3_prot_YP_007408697.1_60	cds-YP_007408697.1
lcl|NC_000962.3_prot_YP_177689.1_61	cds-YP_177689.1
lcl|NC_000962.3_prot_NP_214577.1_62	cds-NP_214577.1
lcl|NC_000962.3_prot_YP_009030026.1_63	cds-YP_009030026.1
lcl|NC_000962.3_prot_NP_214578.1_64	cds-NP_214578.1
lcl|NC_000962.3_prot_YP_007408701.1_65	cds-YP_007408701.1
lcl|NC_000962.3_prot_NP_214579.1_66	cds-NP_214579.1
lcl|NC_000962.3_prot_NP_214580.1_67	cds-NP_214580.1
lcl|NC_000962.3_prot_NP_214581.1_68	cds-NP_214581.1
lcl|NC_000962.3_prot_NP_214582.1_69	cds-NP_214582.1
lcl|NC_000962.3_prot_NP_214583.1_70	cds-NP_214583.1
lcl|NC_000962.3_prot_NP_214584.1_71	cds-NP_214584.1
lcl|NC_000962.3_prot_NP_214585.1_72	cds-NP_214585.1
lcl|NC_000962.3_prot_NP_214586.1_73	cds-NP_214586.1
lcl|NC_000962.3_prot_NP_214587.1_74	cds-NP_214587.1
lcl|NC_000962.3_prot_NP_214588.1_75	cds-NP_214588.1
lcl|NC_000962.3_prot_NP_214589.1_76	cds-NP_214589.1
lcl|NC_000962.3_prot_NP_214590.1_77	cds-NP_214590.1
lcl|NC_000962.3_prot_NP_214591.1_78	cds-NP_214591.1
lcl|NC_000962.3_prot_NP_214592.1_79	cds-NP_214592.1
lcl|NC_000962.3_prot_YP_177616.1_80	cds-YP_177616.1
lcl|NC_000962.3_prot_YP_007408717.1_81	cds-YP_007408717.1
lcl|NC_000962.3_prot_NP_214593.1_82	cds-NP_214593.1
lcl|NC_000962.3_prot_NP_214594.1_83	cds-NP_214594.1
lcl|NC_000962.3_prot_NP_214595.1_84	cds-NP_214595.1
lcl|NC_000962.3_prot_NP_214596.2_85	cds-NP_214596.2
lcl|NC_000962.3_prot_NP_214597.1_86	cds-NP_214597.1
lcl|NC_000962.3_prot_NP_214598.1_87	cds-NP_214598.1
lcl|NC_000962.3_prot_NP_214599.1_88	cds-NP_214599.1
lcl|NC_000962.3_prot_NP_214600.1_89	cds-NP_214600.1
lcl|NC_000962.3_prot_NP_214601.1_90	cds-NP_214601.1
lcl|NC_000962.3_prot_NP_214602.1_91	cds-NP_214602.1
lcl|NC_000962.3_prot_NP_214603.1_92	cds-NP_214603.1
lcl|NC_000962.3_prot_NP_214604.1_93	cds-NP_214604.1
lcl|NC_000962.3_prot_NP_214605.1_94	cds-NP_214605.1
lcl|NC_000962.3_prot_NP_214606.1_95	cds-NP_214606.1
lcl|NC_000962.3_prot_NP_214607.1_96	cds-NP_214607.1
lcl|NC_000962.3_prot_NP_214608.1_97	cds-NP_214608.1
lcl|NC_000962.3_prot_NP_214609.1_98	cds-NP_214609.1
lcl|NC_000962.3_prot_YP_177690.1_99	cds-YP_177690.1
lcl|NC_000962.3_prot_NP_214611.1_100	cds-NP_214611.1
lcl|NC_000962.3_prot_NP_214612.1_101	cds-NP_214612.1
lcl|NC_000962.3_prot_NP_214613.1_102	cds-NP_214613.1
lcl|NC_000962.3_prot_NP_214614.1_103	cds-NP_214614.1
lcl|NC_000962.3_prot_NP_214615.1_104	cds-NP_214615.1
lcl|NC_000962.3_prot_NP_214616.1_105	cds-NP_214616.1
lcl|NC_000962.3_prot_NP_214617.1_106	cds-NP_214617.1
lcl|NC_000962.3_prot_NP_214618.1_107	cds-NP_214618.1
lcl|NC_000962.3_prot_YP_177691.1_108	cds-YP_177691.1
lcl|NC_000962.3_prot_NP_214620.1_109	cds-NP_214620.1
lcl|NC_000962.3_prot_NP_214621.1_110	cds-NP_214621.1
lcl|NC_000962.3_prot_NP_214622.1_111	cds-NP_214622.1
lcl|NC_000962.3_prot_YP_177692.1_112	cds-YP_177692.1
lcl|NC_000962.3_prot_NP_214624.1_113	cds-NP_214624.1
lcl|NC_000962.3_prot_NP_214625.1_114	cds-NP_214625.1
lcl|NC_000962.3_prot_NP_214626.1_115	cds-NP_214626.1
lcl|NC_000962.3_prot_NP_214627.1_116	cds-NP_214627.1
lcl|NC_000962.3_prot_NP_214628.1_117	cds-NP_214628.1
lcl|NC_000962.3_prot_NP_214629.1_118	cds-NP_214629.1
lcl|NC_000962.3_prot_YP_009030027.1_119	cds-YP_009030027.1
lcl|NC_000962.3_prot_NP_214630.1_120	cds-NP_214630.1
lcl|NC_000962.3_prot_NP_214631.1_121	cds-NP_214631.1
lcl|NC_000962.3_prot_NP_214632.1_122	cds-NP_214632.1
lcl|NC_000962.3_prot_NP_214633.1_123	cds-NP_214633.1
lcl|NC_000962.3_prot_NP_214634.1_124	cds-NP_214634.1
lcl|NC_000962.3_prot_NP_214635.1_125	cds-NP_214635.1
lcl|NC_000962.3_prot_NP_214636.1_126	cds-NP_214636.1
lcl|NC_000962.3_prot_NP_214637.1_127	cds-NP_214637.1
lcl|NC_000962.3_prot_YP_177693.1_128	cds-YP_177693.1
lcl|NC_000962.3_prot_NP_214639.1_129	cds-NP_214639.1
lcl|NC_000962.3_prot_NP_214640.1_130	cds-NP_214640.1
lcl|NC_000962.3_prot_NP_214641.1_131	cds-NP_214641.1
lcl|NC_000962.3_prot_NP_214642.1_132	cds-NP_214642.1
lcl|NC_000962.3_prot_YP_177694.1_133	cds-YP_177694.1
lcl|NC_000962.3_prot_NP_214644.1_134	cds-NP_214644.1
lcl|NC_000962.3_prot_NP_214645.1_135	cds-NP_214645.1
lcl|NC_000962.3_prot_NP_214646.1_136	cds-NP_214646.1
lcl|NC_000962.3_prot_NP_214647.1_137	cds-NP_214647.1
lcl|NC_000962.3_prot_NP_214648.1_138	cds-NP_214648.1
lcl|NC_000962.3_prot_NP_214649.1_139	cds-NP_214649.1
lcl|NC_000962.3_prot_NP_214650.1_140	cds-NP_214650.1
lcl|NC_000962.3_prot_NP_214651.1_141	cds-NP_214651.1
lcl|NC_000962.3_prot_NP_214652.1_142	cds-NP_214652.1
lcl|NC_000962.3_prot_NP_214653.1_143	cds-NP_214653.1
lcl|NC_000962.3_prot_NP_214654.1_144	cds-NP_214654.1
lcl|NC_000962.3_prot_NP_214655.1_145	cds-NP_214655.1
lcl|NC_000962.3_prot_NP_214656.1_146	cds-NP_214656.1
lcl|NC_000962.3_prot_NP_214657.1_147	cds-NP_214657.1
lcl|NC_000962.3_prot_NP_214658.1_148	cds-NP_214658.1
lcl|NC_000962.3_prot_NP_214659.1_149	cds-NP_214659.1
lcl|NC_000962.3_prot_NP_214660.1_150	cds-NP_214660.1
lcl|NC_000962.3_prot_NP_214661.1_151	cds-NP_214661.1
lcl|NC_000962.3_prot_NP_214662.1_152	cds-NP_214662.1
lcl|NC_000962.3_prot_NP_214663.1_153	cds-NP_214663.1
lcl|NC_000962.3_prot_NP_214664.1_154	cds-NP_214664.1
lcl|NC_000962.3_prot_YP_177695.1_155	cds-YP_177695.1
lcl|NC_000962.3_prot_YP_177696.1_156	cds-YP_177696.1
lcl|NC_000962.3_prot_NP_214667.1_157	cds-NP_214667.1
lcl|NC_000962.3_prot_NP_214668.1_158	cds-NP_214668.1
lcl|NC_000962.3_prot_NP_214669.1_159	cds-NP_214669.1
lcl|NC_000962.3_prot_NP_214670.1_160	cds-NP_214670.1
lcl|NC_000962.3_prot_NP_214671.1_161	cds-NP_214671.1
lcl|NC_000962.3_prot_YP_007408797.1_162	cds-YP_007408797.1
lcl|NC_000962.3_prot_NP_214672.1_163	cds-NP_214672.1
lcl|NC_000962.3_prot_YP_177697.1_164	cds-YP_177697.1
lcl|NC_000962.3_prot_YP_177698.1_165	cds-YP_177698.1
lcl|NC_000962.3_prot_NP_214675.1_166	cds-NP_214675.1
lcl|NC_000962.3_prot_YP_177699.1_167	cds-YP_177699.1
lcl|NC_000962.3_prot_NP_214677.1_168	cds-NP_214677.1
lcl|NC_000962.3_prot_YP_177617.1_169	cds-YP_177617.1
lcl|NC_000962.3_prot_YP_177700.2_170	cds-YP_177700.2
lcl|NC_000962.3_prot_NP_214680.1_171	cds-NP_214680.1
lcl|NC_000962.3_prot_NP_214681.1_172	cds-NP_214681.1
lcl|NC_000962.3_prot_NP_214682.1_173	cds-NP_214682.1
lcl|NC_000962.3_prot_YP_177701.1_174	cds-YP_177701.1
lcl|NC_000962.3_prot_NP_214684.1_175	cds-NP_214684.1
lcl|NC_000962.3_prot_NP_214685.1_176	cds-NP_214685.1
lcl|NC_000962.3_prot_NP_214686.1_177	cds-NP_214686.1
lcl|NC_000962.3_prot_NP_214687.1_178	cds-NP_214687.1
lcl|NC_000962.3_prot_NP_214688.1_179	cds-NP_214688.1
lcl|NC_000962.3_prot_NP_214689.3_180	cds-NP_214689.3
lcl|NC_000962.3_prot_NP_214690.1_181	cds-NP_214690.1
lcl|NC_000962.3_prot_NP_214691.1_182	cds-NP_214691.1
lcl|NC_000962.3_prot_NP_214692.1_183	cds-NP_214692.1
lcl|NC_000962.3_prot_NP_214693.1_184	cds-NP_214693.1
lcl|NC_000962.3_prot_NP_214694.1_185	cds-NP_214694.1
lcl|NC_000962.3_prot_NP_214695.1_186	cds-NP_214695.1
lcl|NC_000962.3_prot_NP_214696.1_187	cds-NP_214696.1
lcl|NC_000962.3_prot_NP_214697.2_188	cds-NP_214697.2
lcl|NC_000962.3_prot_NP_214698.1_189	cds-NP_214698.1
lcl|NC_000962.3_prot_NP_214699.1_190	cds-NP_214699.1
lcl|NC_000962.3_prot_NP_214700.1_191	cds-NP_214700.1
lcl|NC_000962.3_prot_YP_004837046.2_192	cds-YP_004837046.2
lcl|NC_000962.3_prot_NP_214701.1_193	cds-NP_214701.1
lcl|NC_000962.3_prot_NP_214702.1_194	cds-NP_214702.1
lcl|NC_000962.3_prot_NP_214703.1_195	cds-NP_214703.1
lcl|NC_000962.3_prot_NP_214704.1_196	cds-NP_214704.1
lcl|NC_000962.3_prot_NP_214705.1_197	cds-NP_214705.1
lcl|NC_000962.3_prot_NP_214706.1_198	cds-NP_214706.1
lcl|NC_000962.3_prot_NP_214707.1_199	cds-NP_214707.1
lcl|NC_000962.3_prot_NP_214708.1_200	cds-NP_214708.1
lcl|NC_000962.3_prot_NP_214709.1_201	cds-NP_214709.1
lcl|NC_000962.3_prot_NP_214710.1_202	cds-NP_214710.1
lcl|NC_000962.3_prot_NP_214711.1_203	cds-NP_214711.1
lcl|NC_000962.3_prot_NP_214712.1_204	cds-NP_214712.1
lcl|NC_000962.3_prot_NP_214713.1_205	cds-NP_214713.1
lcl|NC_000962.3_prot_NP_214714.1_206	cds-NP_214714.1
lcl|NC_000962.3_prot_NP_214715.1_207	cds-NP_214715.1
lcl|NC_000962.3_prot_NP_214716.1_208	cds-NP_214716.1
lcl|NC_000962.3_prot_NP_214717.1_209	cds-NP_214717.1
lcl|NC_000962.3_prot_NP_214718.2_210	cds-NP_214718.2
lcl|NC_000962.3_prot_NP_214719.1_211	cds-NP_214719.1
lcl|NC_000962.3_prot_NP_214720.1_212	cds-NP_214720.1
lcl|NC_000962.3_prot_NP_214721.1_213	cds-NP_214721.1
lcl|NC_000962.3_prot_NP_214722.1_214	cds-NP_214722.1
lcl|NC_000962.3_prot_NP_214723.1_215	cds-NP_214723.1
lcl|NC_000962.3_prot_NP_214724.1_216	cds-NP_214724.1
lcl|NC_000962.3_prot_NP_214725.1_217	cds-NP_214725.1
lcl|NC_000962.3_prot_NP_214726.1_218	cds-NP_214726.1
lcl|NC_000962.3_prot_NP_214727.1_219	cds-NP_214727.1
lcl|NC_000962.3_prot_NP_214728.1_220	cds-NP_214728.1
lcl|NC_000962.3_prot_NP_214730.1_221	cds-NP_214730.1
lcl|NC_000962.3_prot_NP_214731.1_222	cds-NP_214731.1
lcl|NC_000962.3_prot_NP_214732.1_223	cds-NP_214732.1
lcl|NC_000962.3_prot_NP_214733.1_224	cds-NP_214733.1
lcl|NC_000962.3_prot_NP_214734.1_225	cds-NP_214734.1
lcl|NC_000962.3_prot_NP_214735.1_226	cds-NP_214735.1
lcl|NC_000962.3_prot_NP_214736.1_227	cds-NP_214736.1
lcl|NC_000962.3_prot_NP_214737.1_228	cds-NP_214737.1
lcl|NC_000962.3_prot_NP_214738.1_229	cds-NP_214738.1
lcl|NC_000962.3_prot_NP_214739.1_230	cds-NP_214739.1
lcl|NC_000962.3_prot_NP_214740.1_231	cds-NP_214740.1
lcl|NC_000962.3_prot_NP_214741.1_232	cds-NP_214741.1
lcl|NC_000962.3_prot_NP_214742.1_233	cds-NP_214742.1
lcl|NC_000962.3_prot_NP_214743.2_234	cds-NP_214743.2
lcl|NC_000962.3_prot_NP_214744.1_235	cds-NP_214744.1
lcl|NC_000962.3_prot_NP_214745.1_236	cds-NP_214745.1
lcl|NC_000962.3_prot_NP_214746.1_237	cds-NP_214746.1
lcl|NC_000962.3_prot_NP_214747.1_238	cds-NP_214747.1
lcl|NC_000962.3_prot_NP_216247.2_239	cds-NP_216247.2
lcl|NC_000962.3_prot_NP_214749.1_240	cds-NP_214749.1
lcl|NC_000962.3_prot_NP_214750.1_241	cds-NP_214750.1
lcl|NC_000962.3_prot_YP_177619.1_242	cds-YP_177619.1
lcl|NC_000962.3_prot_YP_177702.1_243	cds-YP_177702.1
lcl|NC_000962.3_prot_NP_214752.1_244	cds-NP_214752.1
lcl|NC_000962.3_prot_NP_214753.1_245	cds-NP_214753.1
lcl|NC_000962.3_prot_NP_214754.1_246	cds-NP_214754.1
lcl|NC_000962.3_prot_NP_214755.1_247	cds-NP_214755.1
lcl|NC_000962.3_prot_NP_214756.1_248	cds-NP_214756.1
lcl|NC_000962.3_prot_NP_214757.1_249	cds-NP_214757.1
lcl|NC_000962.3_prot_NP_214758.1_250	cds-NP_214758.1
lcl|NC_000962.3_prot_NP_214759.1_251	cds-NP_214759.1
lcl|NC_000962.3_prot_NP_214760.1_252	cds-NP_214760.1
lcl|NC_000962.3_prot_NP_214761.1_253	cds-NP_214761.1
lcl|NC_000962.3_prot_NP_214762.1_254	cds-NP_214762.1
lcl|NC_000962.3_prot_NP_214763.1_255	cds-NP_214763.1
lcl|NC_000962.3_prot_NP_214764.1_256	cds-NP_214764.1
lcl|NC_000962.3_prot_NP_214765.1_257	cds-NP_214765.1
lcl|NC_000962.3_prot_NP_214766.1_258	cds-NP_214766.1
lcl|NC_000962.3_prot_NP_214767.1_259	cds-NP_214767.1
lcl|NC_000962.3_prot_NP_214768.1_260	cds-NP_214768.1
lcl|NC_000962.3_prot_YP_177703.1_261	cds-YP_177703.1
lcl|NC_000962.3_prot_YP_177704.1_262	cds-YP_177704.1
lcl|NC_000962.3_prot_YP_177620.1_263	cds-YP_177620.1
lcl|NC_000962.3_prot_NP_214772.1_264	cds-NP_214772.1
lcl|NC_000962.3_prot_NP_214773.1_265	cds-NP_214773.1
lcl|NC_000962.3_prot_NP_214774.1_266	cds-NP_214774.1
lcl|NC_000962.3_prot_NP_214775.1_267	cds-NP_214775.1
lcl|NC_000962.3_prot_NP_214776.1_268	cds-NP_214776.1
lcl|NC_000962.3_prot_NP_214777.1_269	cds-NP_214777.1
lcl|NC_000962.3_prot_NP_214778.1_270	cds-NP_214778.1
lcl|NC_000962.3_prot_YP_177705.1_271	cds-YP_177705.1
lcl|NC_000962.3_prot_NP_214780.1_272	cds-NP_214780.1
lcl|NC_000962.3_prot_NP_214781.1_273	cds-NP_214781.1
lcl|NC_000962.3_prot_NP_214782.1_274	cds-NP_214782.1
lcl|NC_000962.3_prot_NP_214783.1_275	cds-NP_214783.1
lcl|NC_000962.3_prot_NP_214784.1_276	cds-NP_214784.1
lcl|NC_000962.3_prot_NP_214785.1_277	cds-NP_214785.1
lcl|NC_000962.3_prot_NP_214786.1_278	cds-NP_214786.1
lcl|NC_000962.3_prot_NP_214787.1_279	cds-NP_214787.1
lcl|NC_000962.3_prot_NP_214788.1_280	cds-NP_214788.1
lcl|NC_000962.3_prot_YP_177706.1_281	cds-YP_177706.1
lcl|NC_000962.3_prot_NP_214790.1_282	cds-NP_214790.1
lcl|NC_000962.3_prot_NP_214791.1_283	cds-NP_214791.1
lcl|NC_000962.3_prot_YP_177707.1_284	cds-YP_177707.1
lcl|NC_000962.3_prot_YP_177708.1_285	cds-YP_177708.1
lcl|NC_000962.3_prot_YP_177709.1_286	cds-YP_177709.1
lcl|NC_000962.3_prot_NP_214795.1_287	cds-NP_214795.1
lcl|NC_000962.3_prot_NP_214796.1_288	cds-NP_214796.1
lcl|NC_000962.3_prot_NP_214797.1_289	cds-NP_214797.1
lcl|NC_000962.3_prot_NP_214798.1_290	cds-NP_214798.1
lcl|NC_000962.3_prot_YP_177710.1_291	cds-YP_177710.1
lcl|NC_000962.3_prot_YP_177711.1_292	cds-YP_177711.1
lcl|NC_000962.3_prot_NP_214801.1_293	cds-NP_214801.1
lcl|NC_000962.3_prot_NP_214802.1_294	cds-NP_214802.1
lcl|NC_000962.3_prot_NP_214803.1_295	cds-NP_214803.1
lcl|NC_000962.3_prot_NP_214804.1_296	cds-NP_214804.1
lcl|NC_000962.3_prot_NP_214805.1_297	cds-NP_214805.1
lcl|NC_000962.3_prot_NP_214806.1_298	cds-NP_214806.1
lcl|NC_000962.3_prot_NP_214807.1_299	cds-NP_214807.1
lcl|NC_000962.3_prot_NP_214808.1_300	cds-NP_214808.1
lcl|NC_000962.3_prot_NP_214809.1_301	cds-NP_214809.1
lcl|NC_000962.3_prot_YP_177712.1_302	cds-YP_177712.1
lcl|NC_000962.3_prot_YP_177713.1_303	cds-YP_177713.1
lcl|NC_000962.3_prot_NP_214812.1_304	cds-NP_214812.1
lcl|NC_000962.3_prot_NP_214813.1_305	cds-NP_214813.1
lcl|NC_000962.3_prot_NP_214814.1_306	cds-NP_214814.1
lcl|NC_000962.3_prot_NP_214815.1_307	cds-NP_214815.1
lcl|NC_000962.3_prot_NP_214816.1_308	cds-NP_214816.1
lcl|NC_000962.3_prot_NP_214817.1_309	cds-NP_214817.1
lcl|NC_000962.3_prot_YP_177714.1_310	cds-YP_177714.1
lcl|NC_000962.3_prot_YP_177715.1_311	cds-YP_177715.1
lcl|NC_000962.3_prot_NP_214820.1_312	cds-NP_214820.1
lcl|NC_000962.3_prot_NP_214821.1_313	cds-NP_214821.1
lcl|NC_000962.3_prot_NP_214822.1_314	cds-NP_214822.1
lcl|NC_000962.3_prot_NP_214823.1_315	cds-NP_214823.1
lcl|NC_000962.3_prot_NP_214824.1_316	cds-NP_214824.1
lcl|NC_000962.3_prot_NP_214825.1_317	cds-NP_214825.1
lcl|NC_000962.3_prot_NP_214826.1_318	cds-NP_214826.1
lcl|NC_000962.3_prot_NP_214827.1_319	cds-NP_214827.1
lcl|NC_000962.3_prot_NP_214828.1_320	cds-NP_214828.1
lcl|NC_000962.3_prot_NP_214829.1_321	cds-NP_214829.1
lcl|NC_000962.3_prot_NP_214830.1_322	cds-NP_214830.1
lcl|NC_000962.3_prot_NP_214831.1_323	cds-NP_214831.1
lcl|NC_000962.3_prot_YP_177716.1_324	cds-YP_177716.1
lcl|NC_000962.3_prot_NP_214833.1_325	cds-NP_214833.1
lcl|NC_000962.3_prot_NP_214834.1_326	cds-NP_214834.1
lcl|NC_000962.3_prot_NP_214835.1_327	cds-NP_214835.1
lcl|NC_000962.3_prot_NP_214836.1_328	cds-NP_214836.1
lcl|NC_000962.3_prot_NP_214837.1_329	cds-NP_214837.1
lcl|NC_000962.3_prot_NP_214838.1_330	cds-NP_214838.1
lcl|NC_000962.3_prot_NP_214839.1_331	cds-NP_214839.1
lcl|NC_000962.3_prot_NP_214840.1_332	cds-NP_214840.1
lcl|NC_000962.3_prot_NP_214841.1_333	cds-NP_214841.1
lcl|NC_000962.3_prot_NP_214842.1_334	cds-NP_214842.1
lcl|NC_000962.3_prot_NP_214843.1_335	cds-NP_214843.1
lcl|NC_000962.3_prot_NP_214844.1_336	cds-NP_214844.1
lcl|NC_000962.3_prot_NP_214845.1_337	cds-NP_214845.1
lcl|NC_000962.3_prot_NP_214846.1_338	cds-NP_214846.1
lcl|NC_000962.3_prot_NP_214847.1_339	cds-NP_214847.1
lcl|NC_000962.3_prot_NP_214848.1_340	cds-NP_214848.1
lcl|NC_000962.3_prot_YP_177717.1_341	cds-YP_177717.1
lcl|NC_000962.3_prot_NP_214850.1_342	cds-NP_214850.1
lcl|NC_000962.3_prot_NP_214851.1_343	cds-NP_214851.1
lcl|NC_000962.3_prot_NP_214852.1_344	cds-NP_214852.1
lcl|NC_000962.3_prot_NP_214853.1_345	cds-NP_214853.1
lcl|NC_000962.3_prot_NP_214854.1_346	cds-NP_214854.1
lcl|NC_000962.3_prot_NP_214855.1_347	cds-NP_214855.1
lcl|NC_000962.3_prot_NP_214856.1_348	cds-NP_214856.1
lcl|NC_000962.3_prot_NP_214857.1_349	cds-NP_214857.1
lcl|NC_000962.3_prot_NP_214858.1_350	cds-NP_214858.1
lcl|NC_000962.3_prot_NP_214859.1_351	cds-NP_214859.1
lcl|NC_000962.3_prot_YP_177718.1_352	cds-YP_177718.1
lcl|NC_000962.3_prot_NP_214861.1_353	cds-NP_214861.1
lcl|NC_000962.3_prot_NP_214862.1_354	cds-NP_214862.1
lcl|NC_000962.3_prot_NP_214863.1_355	cds-NP_214863.1
lcl|NC_000962.3_prot_NP_214864.1_356	cds-NP_214864.1
lcl|NC_000962.3_prot_NP_214865.1_357	cds-NP_214865.1
lcl|NC_000962.3_prot_YP_177719.1_358	cds-YP_177719.1
lcl|NC_000962.3_prot_NP_214867.1_359	cds-NP_214867.1
lcl|NC_000962.3_prot_YP_177720.1_360	cds-YP_177720.1
lcl|NC_000962.3_prot_YP_177721.2_361	cds-YP_177721.2
lcl|NC_000962.3_prot_NP_214870.1_362	cds-NP_214870.1
lcl|NC_000962.3_prot_NP_214871.1_363	cds-NP_214871.1
lcl|NC_000962.3_prot_NP_214872.1_364	cds-NP_214872.1
lcl|NC_000962.3_prot_NP_214873.1_365	cds-NP_214873.1
lcl|NC_000962.3_prot_NP_214874.1_366	cds-NP_214874.1
lcl|NC_000962.3_prot_NP_214875.1_367	cds-NP_214875.1
lcl|NC_000962.3_prot_NP_214876.1_368	cds-NP_214876.1
lcl|NC_000962.3_prot_NP_214877.1_369	cds-NP_214877.1
lcl|NC_000962.3_prot_NP_214878.1_370	cds-NP_214878.1
lcl|NC_000962.3_prot_NP_214879.1_371	cds-NP_214879.1
lcl|NC_000962.3_prot_NP_214880.1_372	cds-NP_214880.1
lcl|NC_000962.3_prot_NP_214881.1_373	cds-NP_214881.1
lcl|NC_000962.3_prot_NP_214882.1_374	cds-NP_214882.1
lcl|NC_000962.3_prot_NP_214883.1_375	cds-NP_214883.1
lcl|NC_000962.3_prot_NP_214884.1_376	cds-NP_214884.1
lcl|NC_000962.3_prot_NP_214885.1_377	cds-NP_214885.1
lcl|NC_000962.3_prot_NP_214886.1_378	cds-NP_214886.1
lcl|NC_000962.3_prot_NP_214887.1_379	cds-NP_214887.1
lcl|NC_000962.3_prot_NP_214888.1_380	cds-NP_214888.1
lcl|NC_000962.3_prot_NP_214889.1_381	cds-NP_214889.1
lcl|NC_000962.3_prot_NP_214890.1_382	cds-NP_214890.1
lcl|NC_000962.3_prot_NP_214891.1_383	cds-NP_214891.1
lcl|NC_000962.3_prot_NP_214892.1_384	cds-NP_214892.1
lcl|NC_000962.3_prot_YP_177722.1_385	cds-YP_177722.1
lcl|NC_000962.3_prot_NP_214894.1_386	cds-NP_214894.1
lcl|NC_000962.3_prot_NP_214895.1_387	cds-NP_214895.1
